Node1,Node2
0,31
0,73
0,75
0,8
0,13
1,41
1,22
1,35
1,6
2,85
2,8
2,9
2,33
2,21
3,47
3,97
3,81
3,17
3,57
4,12
4,43
4,44
4,67
5,13
5,55
5,47
5,77
5,69
6,32
6,9
6,14
7,26
7,70
7,36
7,18
7,46
8,28
8,40
8,14
9,76
9,74
9,27
9,19
10,63
10,59
10,34
11,86
11,83
11,21
11,16
11,19
12,68
12,52
12,80
13,71
13,28
13,87
13,34
13,21
14,38
14,34
15,17
15,66
15,23
15,49
15,56
15,47
15,27
15,21
16,71
16,97
16,21
16,96
17,18
17,77
17,56
18,24
18,51
18,31
19,83
19,30
19,56
20,27
20,47
20,23
20,39
20,70
20,49
20,74
21,94
21,53
21,39
21,47
21,63
21,84
21,64
21,70
21,34
21,26
21,90
21,27
21,66
21,42
21,57
21,38
21,72
21,87
21,49
21,23
21,60
22,93
22,34
22,41
22,92
23,47
23,86
23,70
23,72
24,46
24,79
24,65
24,32
25,50
25,31
25,41
25,60
25,42
26,40
26,81
26,88
27,52
27,29
28,58
28,82
28,33
29,76
29,33
29,82
29,85
29,50
30,71
30,37
30,45
30,99
31,50
31,38
32,54
32,35
33,64
33,72
34,47
34,36
34,37
35,92
35,51
36,48
36,90
37,43
37,94
37,72
37,49
37,70
38,78
38,43
39,81
39,70
39,73
39,56
39,40
40,42
40,89
41,46
41,93
42,66
42,56
43,98
44,47
44,70
44,45
45,99
45,79
45,61
46,55
46,58
47,84
47,68
47,81
47,87
47,70
47,64
47,53
48,62
48,63
48,89
49,73
49,53
49,64
50,88
50,89
51,91
51,58
51,71
52,95
52,87
53,84
53,93
53,81
53,70
53,66
54,67
54,80
54,59
55,95
55,65
55,62
56,66
57,58
57,99
57,65
58,61
59,72
59,63
60,73
60,82
60,81
60,66
60,64
61,95
61,91
61,71
62,73
62,69
62,97
64,79
64,70
65,99
65,77
66,94
66,87
67,80
67,79
68,91
68,75
68,98
69,97
69,95
69,96
70,84
70,94
72,81
72,94
74,84
74,82
75,92
75,78
75,83
76,98
76,96
76,80
77,83
77,86
78,91
78,89
78,88
79,88
82,94
83,91
84,96
84,94
84,87
85,86
86,93
87,98
88,92
89,95
92,96
93,98
97,99
