Node1,Node2
0,92
0,21
0,12
0,20
0,36
0,50
1,70
1,99
1,14
1,83
1,39
2,52
2,97
2,42
2,73
2,71
2,91
2,25
2,87
2,49
2,14
2,10
2,31
2,72
2,90
3,4
3,46
3,28
3,58
4,81
4,9
4,37
4,10
4,14
4,46
4,25
5,63
5,32
5,8
5,68
5,86
5,9
6,82
6,42
6,71
6,10
6,72
6,34
6,29
6,61
6,30
6,12
7,18
7,61
7,27
7,36
7,52
7,95
8,14
8,99
8,27
8,59
9,17
9,76
9,43
9,47
10,86
10,45
10,18
10,99
10,91
10,35
10,12
10,14
10,72
10,24
10,19
10,70
10,21
10,42
10,43
10,77
10,95
10,13
10,58
10,71
10,64
10,61
10,31
10,52
10,90
10,53
10,47
10,84
11,38
11,72
11,82
11,86
11,32
12,34
12,86
12,14
12,49
12,54
12,24
12,71
12,43
12,30
12,42
12,99
12,72
13,33
13,90
13,64
13,21
13,83
14,81
14,42
14,99
14,82
14,31
14,96
14,19
14,72
14,86
14,39
15,60
15,53
15,97
15,52
15,72
15,71
16,59
16,28
16,85
16,57
16,68
16,38
17,86
17,45
17,82
17,40
18,69
18,29
18,24
18,46
19,30
19,72
19,42
19,65
19,50
19,55
19,69
19,84
20,72
20,26
20,79
20,93
20,54
21,37
21,27
21,28
22,61
22,47
22,71
22,53
22,34
22,41
23,40
23,54
23,37
23,57
23,43
23,86
24,63
24,27
24,51
24,97
24,86
24,81
24,66
24,72
25,29
25,53
25,37
25,31
26,72
26,73
26,51
26,92
27,94
28,48
28,99
28,40
29,74
29,77
29,67
30,66
30,98
30,41
30,72
30,84
30,81
30,31
31,74
31,71
31,61
31,36
31,44
31,34
32,86
32,89
32,94
32,64
33,75
33,89
33,74
33,67
33,59
34,41
34,62
34,69
34,86
34,58
34,65
35,99
35,61
35,93
35,71
36,95
36,66
36,47
37,43
37,87
37,65
37,81
37,42
37,84
38,90
38,48
38,87
38,55
39,94
39,67
39,71
39,61
39,51
39,87
39,99
39,72
39,64
40,77
40,92
40,76
41,45
41,86
41,48
42,72
42,99
42,68
42,92
42,98
42,56
42,90
42,69
42,87
43,71
43,65
43,63
43,90
44,49
44,50
44,60
44,48
44,70
45,85
45,58
46,76
46,84
46,85
47,57
47,94
47,56
47,65
47,55
47,66
48,87
48,78
49,50
49,73
49,63
50,91
50,87
51,76
51,65
51,88
52,98
52,97
53,63
53,69
53,90
53,72
53,96
53,73
53,75
54,95
54,77
54,94
55,86
55,70
56,67
56,62
56,96
56,91
57,65
57,96
57,74
58,59
59,81
60,79
60,69
60,93
60,86
61,68
61,62
61,94
62,69
62,72
62,81
63,80
64,90
64,83
65,90
65,86
65,82
66,91
67,72
67,92
68,75
69,86
69,81
69,98
69,71
69,75
69,82
69,87
70,76
71,86
72,90
72,74
72,86
72,87
72,81
73,80
73,88
74,82
75,90
75,86
76,95
77,86
77,89
78,87
78,89
78,97
78,93
79,95
79,98
79,96
79,80
80,86
80,87
80,91
81,86
82,93
82,99
82,86
83,99
83,89
84,86
85,99
85,88
86,99
86,87
86,88
89,99
96,97
98,99
