Node1,Node2
0,13
0,67
0,54
0,31
1,17
1,89
1,25
1,26
1,34
2,11
2,5
2,25
2,18
2,23
3,58
3,19
3,8
4,43
4,60
4,75
4,92
4,21
5,91
5,7
5,14
5,23
6,49
6,37
6,64
6,40
6,33
6,45
6,27
6,70
7,9
7,63
7,25
7,49
8,32
8,47
8,86
9,11
9,26
9,52
10,82
10,30
10,13
10,36
11,22
11,23
11,17
12,80
12,68
12,47
12,69
12,42
13,89
13,15
14,51
14,70
14,82
14,69
14,27
14,48
14,32
15,24
15,79
15,28
16,95
16,74
16,24
16,29
17,49
17,46
17,38
18,30
18,26
18,92
18,21
19,79
19,56
20,59
20,81
20,39
20,25
21,29
21,33
21,59
22,50
22,47
22,43
22,23
23,30
24,34
24,40
25,64
26,53
26,40
27,49
27,37
27,45
27,91
27,42
27,59
27,51
27,44
27,70
28,42
28,35
28,38
29,94
29,67
30,57
30,40
31,37
31,67
31,65
32,66
32,65
33,85
33,49
33,54
34,75
34,64
34,59
35,49
35,48
35,44
35,56
35,63
36,39
36,83
36,46
37,51
37,96
37,49
37,56
37,82
38,90
38,49
39,61
39,54
40,63
40,82
40,44
41,83
41,87
41,80
42,52
42,49
42,59
42,70
43,53
43,49
43,62
44,56
44,69
44,49
44,96
44,51
45,91
45,85
45,48
46,94
46,90
47,68
47,89
48,65
48,62
49,72
49,51
49,62
49,77
49,82
49,92
49,87
49,60
49,53
49,52
49,70
49,57
49,85
49,75
50,83
50,96
50,77
50,61
51,60
51,85
51,76
51,96
51,70
51,82
52,57
53,64
53,93
54,73
55,71
55,72
55,97
55,98
56,60
56,69
57,62
57,68
58,94
58,78
59,96
59,94
60,82
61,74
61,77
62,91
63,85
63,75
64,70
65,77
66,73
66,69
67,99
68,84
68,89
69,92
69,82
69,96
70,83
71,93
71,98
72,86
73,78
74,88
75,96
76,83
76,93
76,86
78,80
79,97
79,89
81,95
81,98
81,99
82,96
84,99
84,98
84,92
86,97
87,97
88,99
88,95
90,91
93,95
