Node1,Node2
0,4
0,58
0,26
0,10
0,37
0,7
0,38
1,74
1,26
1,76
1,11
1,29
1,84
1,10
1,91
1,15
1,32
1,37
2,89
2,90
2,64
2,33
2,31
3,85
3,11
3,49
3,8
3,22
4,11
4,84
4,78
4,38
4,44
4,54
4,26
4,76
4,73
4,36
4,7
4,49
4,68
4,29
4,30
4,65
4,52
4,21
4,10
4,58
5,39
5,80
5,66
5,93
5,78
6,14
6,76
6,69
6,59
6,90
7,73
7,15
7,78
8,29
8,64
8,21
9,47
9,52
9,67
9,14
9,56
10,21
10,30
10,29
10,68
10,73
10,11
10,57
10,99
10,82
10,76
10,33
11,62
11,26
11,90
11,68
11,42
11,76
11,17
11,35
11,29
12,17
12,63
12,41
12,70
12,46
13,25
13,56
13,46
13,20
13,55
14,56
14,34
15,77
15,73
15,23
16,48
16,57
16,82
16,46
17,68
17,21
17,84
17,73
17,29
17,77
17,26
17,80
17,82
17,32
18,82
18,38
18,37
18,47
18,64
19,88
19,92
19,28
19,51
19,94
20,44
20,36
20,26
20,40
21,26
21,44
21,35
21,37
21,76
21,59
21,43
21,29
22,61
22,29
22,67
22,92
23,29
23,66
24,47
24,68
24,56
24,58
25,29
25,45
25,59
25,63
26,29
26,73
26,80
26,76
26,62
26,65
26,95
26,60
26,53
26,71
26,74
26,90
26,44
26,99
27,97
27,86
27,40
27,33
27,55
28,53
28,49
28,84
29,39
29,37
29,73
29,30
29,84
29,95
29,57
29,33
29,74
29,52
29,66
29,98
29,40
29,85
29,48
29,49
29,38
29,44
29,58
30,59
30,32
31,39
31,35
31,98
31,53
32,33
32,76
32,83
32,91
32,49
32,59
32,39
32,35
34,60
34,61
34,38
34,88
35,75
36,59
36,73
36,65
37,73
37,39
37,38
38,69
38,54
38,52
39,82
39,87
39,53
40,84
41,43
41,79
41,86
41,74
42,61
42,60
42,59
42,50
43,98
43,68
43,84
44,76
44,80
44,62
44,91
44,97
44,89
45,49
45,73
45,63
45,99
46,54
47,79
47,88
48,87
48,85
48,70
49,59
49,73
49,76
49,60
49,84
49,80
50,68
50,73
50,51
51,87
51,86
52,88
53,82
54,83
54,84
54,98
54,80
54,58
55,70
55,89
55,82
56,73
57,77
57,64
58,73
58,68
58,67
58,63
58,82
58,76
59,72
59,80
60,72
61,76
61,96
62,87
62,77
63,70
63,88
63,81
63,99
64,72
65,69
65,77
67,98
67,93
68,78
68,85
68,76
68,84
69,75
69,84
70,80
71,81
71,94
71,99
72,93
72,79
73,94
73,76
73,85
73,99
74,87
75,83
75,89
75,95
78,93
79,80
79,81
81,95
81,94
82,83
82,84
83,96
84,96
86,93
90,97
91,99
91,92
94,96
96,97
