Node1,Node2
0,24
0,30
0,2
0,90
0,5
1,34
1,76
1,98
1,25
2,37
2,12
2,5
2,77
3,67
3,93
3,84
3,19
3,34
3,68
3,90
3,57
3,11
3,14
3,99
3,31
3,32
3,81
3,98
3,38
3,46
3,22
3,24
3,62
3,39
3,75
3,48
3,37
3,9
3,80
3,40
4,9
4,70
4,52
4,22
5,81
5,92
5,17
6,94
6,15
6,86
6,56
6,96
7,56
7,93
7,34
7,27
8,11
8,17
8,62
8,31
8,84
8,87
8,15
8,37
8,93
8,40
9,25
9,34
9,90
9,23
9,73
9,24
9,70
10,57
10,85
10,98
10,13
10,52
11,22
11,66
11,62
11,21
11,93
11,15
11,34
11,57
12,69
12,80
12,23
12,35
13,93
13,26
13,24
13,40
14,34
14,84
14,62
14,48
14,33
14,99
14,54
15,93
15,16
15,62
15,30
15,24
15,84
15,64
15,20
15,40
15,56
15,57
15,90
15,26
15,34
15,67
15,33
15,21
15,80
16,57
16,67
16,59
16,36
17,51
17,57
18,61
18,47
18,62
18,85
18,82
19,44
20,39
20,37
20,31
20,22
20,67
20,98
20,30
20,29
21,73
21,65
21,51
21,56
21,57
21,58
21,24
21,92
21,55
22,33
22,51
22,53
22,67
22,34
22,48
22,37
23,84
23,69
23,46
24,34
24,82
24,40
24,62
24,57
24,70
24,48
24,96
24,31
24,28
24,65
25,39
25,26
26,34
27,40
27,67
27,53
27,90
28,39
28,57
28,93
28,63
29,50
29,76
29,55
29,66
30,93
30,79
30,40
30,57
30,61
30,39
31,59
31,40
31,93
31,98
31,70
31,84
31,72
32,72
32,79
32,92
32,84
33,42
33,95
34,91
34,47
34,40
34,62
34,49
34,78
34,57
34,70
34,80
35,38
35,37
35,57
35,58
36,87
36,61
36,84
36,65
37,94
37,77
37,73
37,89
37,43
38,90
38,86
38,89
39,69
39,91
39,84
39,94
39,62
40,60
40,57
40,93
40,64
40,84
40,53
40,44
40,62
40,63
40,66
41,59
41,74
41,94
41,67
41,85
42,68
42,61
42,99
42,72
43,64
43,50
43,88
43,69
44,96
44,91
44,66
45,46
45,84
45,80
45,69
46,48
46,67
46,57
46,76
46,63
47,63
47,93
47,88
48,91
48,95
48,93
48,94
48,64
49,66
49,62
49,96
49,87
50,86
50,62
50,66
51,85
51,96
51,57
51,70
52,99
52,64
52,55
53,58
53,88
54,66
54,80
54,69
54,82
55,86
56,79
57,93
57,62
57,66
57,94
57,65
57,72
57,83
57,87
58,87
58,84
59,94
59,64
60,89
60,62
60,84
60,74
61,62
61,70
61,65
61,93
61,85
62,64
62,80
62,90
62,83
62,77
62,98
62,70
62,88
62,81
62,79
62,93
63,90
64,97
64,79
64,99
64,81
64,93
64,70
64,84
64,78
65,83
65,93
65,86
65,67
66,93
66,78
67,89
67,95
67,90
67,70
68,98
69,71
69,94
69,83
70,90
70,72
70,93
70,98
70,85
71,97
71,74
71,95
71,92
73,74
73,77
74,78
75,93
75,78
75,94
76,90
77,98
80,88
80,82
81,83
82,84
84,85
84,93
85,91
85,93
85,94
89,90
90,93
90,97
90,94
92,98
