Node1,Node2
0,55
0,83
0,32
0,11
0,16
1,21
1,18
1,74
1,23
1,54
1,71
1,20
1,8
2,88
2,76
2,51
2,5
2,19
3,33
3,55
3,78
3,24
3,43
4,38
4,69
4,11
4,32
4,13
5,6
5,20
5,45
6,40
6,62
6,39
6,42
6,7
6,23
7,42
7,91
7,63
7,56
7,45
7,23
7,8
8,30
8,19
8,55
9,65
9,37
9,47
9,49
9,70
10,19
10,45
10,55
10,69
10,29
11,76
11,93
11,20
12,20
12,83
12,15
12,27
13,15
13,58
13,20
13,24
14,74
14,96
14,44
14,27
15,67
15,92
16,45
16,51
16,23
16,34
17,32
17,54
17,43
17,29
18,65
18,55
18,42
18,25
19,30
19,75
20,34
20,45
20,86
20,23
20,42
20,55
20,63
21,48
21,58
21,54
21,30
22,25
22,42
22,69
22,41
22,86
23,42
23,45
23,88
23,74
23,55
23,79
23,69
24,37
24,33
24,55
25,49
25,75
25,42
26,59
26,36
26,31
26,35
27,70
27,64
28,64
28,46
28,42
28,75
29,59
29,81
29,49
30,71
30,95
31,36
31,74
31,94
31,37
32,41
33,42
33,48
33,49
34,97
34,55
34,39
35,42
35,53
35,55
36,65
36,82
37,73
37,55
37,42
37,43
37,45
37,75
37,52
37,69
37,57
37,78
37,79
37,86
38,85
38,62
38,39
38,52
38,63
38,53
39,45
39,74
40,45
40,89
40,80
40,61
41,61
41,52
42,55
42,45
42,64
42,74
42,88
42,98
42,86
42,79
42,70
42,56
42,82
42,69
42,73
43,59
43,97
44,88
44,55
44,57
45,69
45,88
45,54
45,90
45,92
45,55
45,86
45,82
45,68
45,96
45,60
46,56
46,70
47,48
47,90
47,52
47,97
48,80
48,78
49,88
49,67
49,93
50,90
50,60
50,91
50,73
51,96
51,85
51,82
52,98
53,65
53,77
53,54
55,86
55,88
55,74
55,96
55,82
55,57
55,73
55,92
55,91
55,60
55,79
55,76
55,69
55,70
56,63
56,88
56,86
56,93
58,96
58,85
59,90
59,77
60,74
60,73
60,67
60,70
61,73
61,80
61,66
62,84
62,83
62,96
63,87
63,95
63,79
64,70
64,97
65,73
66,99
66,91
67,86
67,73
68,83
68,72
68,85
68,94
69,82
69,94
69,89
69,79
69,90
69,74
70,86
71,77
71,94
71,76
72,73
72,82
72,75
72,88
73,96
74,79
76,86
77,87
78,81
78,89
79,98
79,92
79,96
80,89
80,96
81,99
81,93
81,95
82,87
83,89
84,93
84,94
87,97
87,95
88,99
95,99
98,99
