Node1,Node2
0,284
0,50
0,198
0,170
0,281
0,3
0,115
0,30
0,91
0,238
0,296
0,239
0,204
0,31
0,14
0,29
0,95
0,136
0,123
0,121
0,44
0,34
0,139
0,43
0,99
0,181
0,206
0,125
0,41
0,127
0,145
1,4
1,212
1,286
1,37
1,118
1,274
1,174
1,288
1,18
1,121
1,207
1,10
1,19
1,53
1,160
1,154
2,3
2,18
2,268
2,54
2,36
2,86
2,106
2,85
2,127
2,4
2,14
2,139
2,38
2,195
2,44
2,290
2,245
2,218
2,140
2,128
2,30
2,9
2,246
2,204
2,31
2,26
2,57
2,206
3,123
3,37
3,240
3,138
3,73
3,243
3,169
3,156
3,94
3,8
3,33
3,77
3,100
3,65
3,39
3,184
4,271
4,241
4,24
4,184
4,94
4,287
4,137
4,81
4,251
4,6
4,125
4,156
4,110
4,48
5,129
5,124
5,26
5,77
5,290
5,254
5,9
5,210
5,138
5,194
5,257
5,83
5,24
5,232
5,11
5,8
5,165
5,166
5,120
6,28
6,270
6,195
6,120
6,70
6,269
6,261
6,115
6,13
6,96
6,75
6,198
6,23
6,228
7,185
7,87
7,54
7,63
7,138
7,193
7,136
7,89
7,181
7,272
7,281
7,9
7,134
7,57
7,102
7,19
7,65
8,129
8,216
8,86
8,175
8,147
8,290
8,56
8,238
8,30
8,251
8,47
8,153
8,81
8,156
8,22
8,122
9,46
9,87
9,181
9,216
9,117
9,256
9,54
9,45
9,96
9,149
9,114
10,20
10,285
10,155
10,227
10,189
10,72
10,38
10,25
10,166
10,163
10,114
10,252
10,42
10,94
10,186
11,176
11,251
11,99
11,52
11,260
11,29
11,265
11,28
11,12
11,166
11,44
11,33
11,45
11,153
11,178
11,181
11,64
12,261
12,271
12,194
12,244
12,114
12,72
12,54
12,28
12,51
12,14
12,92
12,27
12,17
12,129
12,118
12,105
12,21
13,202
13,143
13,136
13,297
13,290
13,236
13,37
13,221
13,81
13,62
13,63
13,48
13,108
13,160
14,35
14,199
14,252
14,286
14,29
14,172
14,48
14,191
14,237
14,212
14,109
14,16
14,289
14,64
15,281
15,67
15,250
15,296
15,30
15,295
15,47
15,81
15,277
15,193
15,92
15,40
15,97
15,83
15,165
15,36
15,139
15,222
16,188
16,236
16,187
16,107
16,116
16,172
16,25
16,28
