Node1,Node2
0,117
0,12
0,286
0,112
0,406
0,441
0,44
0,213
0,45
0,194
0,74
0,177
0,158
0,133
0,28
0,138
0,203
1,122
1,364
1,71
1,313
1,171
1,24
1,12
1,276
1,204
1,420
1,394
1,450
1,173
1,4
1,152
2,286
2,69
2,447
2,381
2,431
2,79
2,130
2,4
2,233
2,16
2,11
2,38
2,93
2,362
2,226
2,306
2,231
2,380
2,280
2,129
2,10
2,188
2,202
3,69
3,431
3,275
3,188
3,453
3,190
3,99
3,7
3,9
3,105
3,312
3,173
3,79
3,268
3,258
4,188
4,207
4,286
4,77
4,12
4,419
4,114
4,72
4,52
4,234
4,161
4,399
4,10
4,91
4,445
4,449
4,69
4,67
4,33
4,81
4,44
4,193
4,275
4,317
4,170
4,279
4,216
4,178
4,137
4,221
4,329
4,20
4,381
5,234
5,444
5,41
5,273
5,119
5,78
5,387
5,63
5,261
5,287
5,344
5,80
5,358
5,350
5,152
6,456
6,286
6,364
6,129
6,358
6,333
6,234
6,205
6,82
6,134
6,244
6,48
6,67
6,207
6,83
6,143
6,218
6,60
7,490
7,370
7,318
7,55
7,381
7,364
7,136
7,169
7,220
7,84
7,337
7,157
7,31
7,299
8,208
8,220
8,236
8,433
8,200
8,89
8,84
8,218
8,23
8,320
8,409
8,447
8,50
8,245
9,10
9,246
9,323
9,286
9,86
9,464
9,495
9,449
9,29
9,312
9,60
9,225
9,90
9,165
9,161
9,344
9,411
9,234
9,414
10,98
10,364
10,280
10,345
10,205
10,207
10,94
10,323
10,286
10,272
10,234
10,188
10,178
10,161
10,494
10,106
10,365
10,40
10,449
10,357
10,414
10,342
10,331
10,438
10,230
10,377
10,263
10,47
10,460
10,54
10,159
10,363
10,90
10,358
10,206
10,95
10,341
10,488
10,473
10,115
10,238
10,104
10,309
10,114
10,428
10,467
10,373
10,499
10,268
10,461
10,146
10,310
10,443
10,277
10,31
10,165
10,274
10,224
10,426
10,195
10,476
10,226
10,445
10,50
10,156
10,343
10,489
10,459
10,317
10,67
10,119
10,462
10,74
10,235
10,378
10,171
10,361
10,198
10,405
10,412
10,217
10,307
10,241
10,143
10,464
10,254
10,93
10,147
10,130
10,251
10,92
10,221
10,58
10,247
10,30
